prompt_idx,token_pos,token_text,L00_H00,L00_H01,L00_H02,L00_H03,L00_H04,L00_H05,L00_H06,L00_H07,L00_H08,L00_H09,L00_H10,L00_H11,L01_H00,L01_H01,L01_H02,L01_H03,L01_H04,L01_H05,L01_H06,L01_H07,L01_H08,L01_H09,L01_H10,L01_H11,L02_H00,L02_H01,L02_H02,L02_H03,L02_H04,L02_H05,L02_H06,L02_H07,L02_H08,L02_H09,L02_H10,L02_H11,L03_H00,L03_H01,L03_H02,L03_H03,L03_H04,L03_H05,L03_H06,L03_H07,L03_H08,L03_H09,L03_H10,L03_H11,L04_H00,L04_H01,L04_H02,L04_H03,L04_H04,L04_H05,L04_H06,L04_H07,L04_H08,L04_H09,L04_H10,L04_H11,L05_H00,L05_H01,L05_H02,L05_H03,L05_H04,L05_H05,L05_H06,L05_H07,L05_H08,L05_H09,L05_H10,L05_H11,L06_H00,L06_H01,L06_H02,L06_H03,L06_H04,L06_H05,L06_H06,L06_H07,L06_H08,L06_H09,L06_H10,L06_H11,L07_H00,L07_H01,L07_H02,L07_H03,L07_H04,L07_H05,L07_H06,L07_H07,L07_H08,L07_H09,L07_H10,L07_H11,L08_H00,L08_H01,L08_H02,L08_H03,L08_H04,L08_H05,L08_H06,L08_H07,L08_H08,L08_H09,L08_H10,L08_H11,L09_H00,L09_H01,L09_H02,L09_H03,L09_H04,L09_H05,L09_H06,L09_H07,L09_H08,L09_H09,L09_H10,L09_H11,L10_H00,L10_H01,L10_H02,L10_H03,L10_H04,L10_H05,L10_H06,L10_H07,L10_H08,L10_H09,L10_H10,L10_H11,L11_H00,L11_H01,L11_H02,L11_H03,L11_H04,L11_H05,L11_H06,L11_H07,L11_H08,L11_H09,L11_H10,L11_H11,L12_H00,L12_H01,L12_H02,L12_H03,L12_H04,L12_H05,L12_H06,L12_H07,L12_H08,L12_H09,L12_H10,L12_H11,L13_H00,L13_H01,L13_H02,L13_H03,L13_H04,L13_H05,L13_H06,L13_H07,L13_H08,L13_H09,L13_H10,L13_H11,L14_H00,L14_H01,L14_H02,L14_H03,L14_H04,L14_H05,L14_H06,L14_H07,L14_H08,L14_H09,L14_H10,L14_H11,L15_H00,L15_H01,L15_H02,L15_H03,L15_H04,L15_H05,L15_H06,L15_H07,L15_H08,L15_H09,L15_H10,L15_H11,L16_H00,L16_H01,L16_H02,L16_H03,L16_H04,L16_H05,L16_H06,L16_H07,L16_H08,L16_H09,L16_H10,L16_H11,L17_H00,L17_H01,L17_H02,L17_H03,L17_H04,L17_H05,L17_H06,L17_H07,L17_H08,L17_H09,L17_H10,L17_H11,L18_H00,L18_H01,L18_H02,L18_H03,L18_H04,L18_H05,L18_H06,L18_H07,L18_H08,L18_H09,L18_H10,L18_H11,L19_H00,L19_H01,L19_H02,L19_H03,L19_H04,L19_H05,L19_H06,L19_H07,L19_H08,L19_H09,L19_H10,L19_H11,L20_H00,L20_H01,L20_H02,L20_H03,L20_H04,L20_H05,L20_H06,L20_H07,L20_H08,L20_H09,L20_H10,L20_H11,L21_H00,L21_H01,L21_H02,L21_H03,L21_H04,L21_H05,L21_H06,L21_H07,L21_H08,L21_H09,L21_H10,L21_H11,L22_H00,L22_H01,L22_H02,L22_H03,L22_H04,L22_H05,L22_H06,L22_H07,L22_H08,L22_H09,L22_H10,L22_H11,L23_H00,L23_H01,L23_H02,L23_H03,L23_H04,L23_H05,L23_H06,L23_H07,L23_H08,L23_H09,L23_H10,L23_H11,L24_H00,L24_H01,L24_H02,L24_H03,L24_H04,L24_H05,L24_H06,L24_H07,L24_H08,L24_H09,L24_H10,L24_H11,L25_H00,L25_H01,L25_H02,L25_H03,L25_H04,L25_H05,L25_H06,L25_H07,L25_H08,L25_H09,L25_H10,L25_H11,L26_H00,L26_H01,L26_H02,L26_H03,L26_H04,L26_H05,L26_H06,L26_H07,L26_H08,L26_H09,L26_H10,L26_H11,L27_H00,L27_H01,L27_H02,L27_H03,L27_H04,L27_H05,L27_H06,L27_H07,L27_H08,L27_H09,L27_H10,L27_H11
5,13,",",1,1,11,1,0,11,13,4,12,8,13,11,10,11,0,8,12,7,5,12,8,13,13,12,10,9,0,0,13,10,0,11,12,8,12,9,0,9,0,0,8,12,0,0,0,0,12,0,0,2,12,0,0,0,8,0,0,0,0,12,8,13,12,0,0,0,1,11,11,0,0,0,10,0,8,0,13,8,0,0,0,0,12,12,0,12,8,13,0,0,0,11,12,8,10,0,0,0,12,0,0,0,12,0,0,0,0,12,0,0,12,0,8,12,0,0,0,0,0,12,0,12,0,12,0,13,0,0,0,0,0,10,0,10,8,0,12,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,12,0,0,0,13,12,0,10,0,0,0,0,0,0,0,12,9,0,0,0,12,0,0,0,0,13,0,13,0,12,12,13,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,13,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,10,13,10,0,0,0,9,0,0,13,12,12,9,0,12,12,0,12,12,10,0,0,13,12,0,12,0,0,0,7,12,12,0,0,0,0,0,0,0,12,0,12,12,12,13,0,0,12,12,0,0,0,0,0,0,0,0,0,12,0,12,0,12,0,12,0,12,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
5,14, but,1,14,9,13,0,11,14,0,12,0,14,11,10,12,1,8,13,7,14,12,0,13,14,12,12,9,0,0,0,10,0,13,14,8,13,9,0,12,13,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,8,0,12,0,0,0,0,14,12,0,0,0,13,11,11,0,0,0,12,0,8,0,0,0,0,0,0,0,12,12,0,12,0,14,0,0,0,12,13,10,12,8,13,0,12,0,0,0,12,0,12,14,0,12,0,11,0,13,8,12,0,0,0,10,0,12,0,0,0,12,0,14,0,0,0,12,0,10,0,8,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,12,13,13,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,14,0,14,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,14,14,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,12,14,12,0,0,0,0,0,0,14,12,12,0,0,14,12,0,12,0,11,0,0,14,12,0,12,12,12,0,0,0,12,0,0,0,0,0,0,0,0,0,13,12,12,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
5,15, some,0,15,14,1,0,14,15,15,14,9,15,14,11,13,1,8,14,7,14,10,3,14,15,12,12,9,0,11,15,10,0,13,15,12,14,14,0,12,14,0,9,0,0,10,0,0,12,0,0,0,0,0,12,15,0,0,0,0,0,14,0,15,14,0,0,0,15,0,14,0,0,0,12,0,8,0,15,0,0,0,0,0,0,0,0,12,14,15,15,0,10,14,14,10,12,15,14,0,12,0,0,0,10,0,12,15,0,0,0,0,14,12,8,12,0,0,0,0,0,0,0,0,12,0,0,15,0,0,0,12,0,10,0,10,14,0,14,0,0,0,0,0,0,14,9,0,0,0,0,0,0,0,12,0,0,9,0,0,12,14,14,0,12,12,14,10,12,0,0,10,0,0,0,0,0,0,0,15,0,0,0,0,0,0,14,15,0,15,0,15,0,12,0,0,0,0,0,0,0,0,0,0,12,0,15,0,0,15,14,0,0,0,0,0,0,0,12,0,14,0,14,0,0,12,14,0,15,12,0,0,0,10,0,0,15,0,0,13,0,14,0,0,12,12,12,0,0,15,12,0,0,12,0,0,0,14,12,0,0,0,0,0,0,0,0,14,14,0,0,15,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,15,0
5,16, animals,1,16,13,16,7,16,16,16,15,10,16,13,13,14,1,8,15,7,14,10,8,15,16,12,10,11,0,11,11,11,0,15,16,10,15,15,14,0,0,0,10,0,0,10,0,10,0,0,10,0,0,12,10,10,14,15,0,0,0,14,0,16,14,15,0,0,16,10,15,10,10,0,0,0,8,0,0,14,10,0,0,0,0,0,0,0,15,16,12,0,14,15,15,14,0,0,0,0,15,10,10,0,0,12,0,0,0,15,0,0,15,0,14,0,0,0,0,0,0,0,0,0,14,0,12,16,0,0,0,12,0,0,0,0,15,0,15,0,0,0,16,0,0,15,0,10,10,10,0,0,0,15,0,0,0,10,0,0,0,0,15,0,0,16,15,0,10,0,0,0,0,0,0,0,12,0,0,0,0,15,0,0,0,0,0,16,0,16,0,15,0,14,0,0,0,0,0,12,0,0,15,0,0,0,15,0,0,16,15,0,12,0,15,0,0,0,0,0,15,0,14,0,0,0,15,0,16,15,0,0,0,11,0,0,16,15,15,13,0,15,15,0,12,0,12,0,0,16,12,0,12,12,0,0,0,14,12,0,0,0,0,0,0,0,0,14,15,0,0,16,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,0
5,17, are,1,1,14,1,0,15,17,16,16,11,17,15,14,15,8,8,16,7,15,11,3,14,17,15,16,9,0,12,11,12,17,15,15,11,16,15,14,15,0,0,11,0,10,0,0,11,16,0,0,0,0,12,0,17,14,0,15,14,0,14,0,17,0,15,0,0,17,0,14,0,11,0,0,0,8,0,0,0,11,0,0,0,16,15,0,0,14,17,15,0,8,15,16,10,16,10,14,0,15,0,11,15,16,0,16,17,0,15,17,0,15,0,14,14,0,0,0,0,0,16,0,16,12,0,0,17,0,0,0,13,14,11,0,14,14,0,16,0,0,16,17,0,0,14,0,0,0,0,0,0,0,15,16,0,0,11,14,0,12,14,16,0,12,16,15,12,12,15,12,12,0,0,0,0,0,0,14,17,0,0,0,12,16,0,14,17,0,17,0,15,16,12,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,17,14,0,0,0,0,0,0,0,0,0,15,0,14,0,0,12,16,0,17,15,0,0,0,12,0,0,17,0,0,0,0,14,12,0,12,12,12,0,0,17,12,0,12,12,0,12,0,0,12,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,16,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
5,18, more,1,1,17,18,10,17,18,18,17,15,18,17,14,16,8,8,17,7,14,12,8,14,18,15,16,9,0,12,12,13,0,15,18,17,17,15,17,15,0,0,0,0,0,0,0,0,16,0,0,0,0,12,12,18,14,17,15,0,0,0,0,18,0,15,0,0,18,12,17,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,14,0,12,0,10,15,17,14,16,12,14,0,18,0,12,0,16,0,16,18,0,15,0,0,15,10,14,18,0,0,0,0,0,0,0,16,0,0,0,18,0,0,0,13,13,0,0,10,16,0,17,12,0,0,18,0,0,16,0,0,0,0,0,0,0,17,16,0,0,12,15,0,12,17,17,0,0,16,0,0,12,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,9,18,0,17,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,14,0,0,0,17,0,18,15,0,0,0,0,0,0,18,0,0,9,0,17,0,0,0,0,0,0,0,18,0,0,12,0,0,0,0,17,12,0,0,0,0,0,0,0,17,17,17,12,17,17,0,0,12,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,17,13,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,0
6,0,Important,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,:,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0
6,2, only,1,2,0,2,0,0,2,1,0,2,2,0,1,1,1,0,1,2,1,0,1,1,2,0,2,1,1,1,2,1,2,1,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,1,0,0,1,2,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6,3, reply,0,3,1,3,0,2,3,3,2,0,3,0,1,1,1,0,2,3,2,0,1,1,3,2,3,1,0,3,3,1,3,2,3,3,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,1,0,0,0,2,0,3,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
6,4, with,1,4,3,4,0,3,4,3,2,0,4,2,1,2,4,0,3,3,4,4,1,1,3,3,3,1,0,4,4,3,3,2,3,3,3,2,2,0,3,3,0,0,0,0,0,0,3,0,0,3,3,3,0,4,1,2,3,3,0,2,0,4,0,0,0,0,4,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,2,3,0,3,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,2,3,1,3,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,3,3,0,0,2,0,0,1,0,3,4,0,3,1,0,0,0,0,0,0,0,3,3,0,3,0,3,0,3,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,3,4,0,3,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,4,2,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,0,0,3,4,3,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
6,5, a,1,4,4,1,0,5,5,0,4,0,5,2,1,3,4,0,4,3,5,0,1,4,3,2,3,1,0,5,5,4,3,4,4,5,4,2,4,2,3,0,0,4,3,0,0,0,3,0,0,4,3,1,0,5,1,0,0,4,0,2,1,5,0,0,0,0,5,0,4,0,0,0,4,0,0,0,5,1,0,0,0,0,3,3,0,0,0,5,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,4,0,0,0,5,0,3,4,0,0,0,0,0,0,0,3,0,0,5,0,3,0,3,3,4,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,5,3,0,0,0,0,0,0,5,0,0,3,0,4,0,0,0,0,0,0,4,5,4,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,4,4,0,4,5,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,4,0,4,0,4,0,0,4,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6, single,5,1,4,5,0,6,6,6,4,2,6,4,3,4,4,0,5,6,5,2,1,4,6,6,3,1,3,6,6,6,0,5,6,6,6,2,4,0,5,0,0,6,0,0,0,0,0,0,0,0,6,3,6,6,2,5,0,4,0,6,0,6,4,0,0,0,6,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,4,0,5,0,0,6,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,5,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,6,6,0,6,0,6,0,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,5,0,6,3,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,4,6,5,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,5,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
6,7, token,5,6,5,7,3,6,7,6,5,0,7,6,4,6,7,0,6,7,5,3,3,4,7,6,4,1,0,7,7,7,0,4,7,7,6,2,4,0,6,0,0,7,0,0,0,0,3,0,3,0,3,3,3,7,0,6,0,4,0,6,0,7,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,7,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,6,0,0,0,7,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,6,6,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,6,0,7,7,0,6,0,0,0,0,7,7,4,7,1,4,6,0,0,0,0,0,0,7,6,7,0,7,0,0,7,4,7,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,1,0,0,3,0,0,7,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
6,8,".
",1,1,8,8,3,0,8,0,6,1,8,4,3,6,8,0,7,7,5,8,8,1,1,2,3,1,0,8,8,1,0,3,8,8,4,1,0,1,0,0,0,0,2,7,0,0,1,0,8,8,0,1,0,8,0,0,1,0,0,0,0,8,7,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,7,0,8,0,0,0,1,7,0,6,0,0,0,7,0,0,1,0,0,0,0,0,7,8,1,1,0,1,6,0,0,0,0,0,7,0,1,0,7,0,8,0,0,0,0,7,3,0,0,1,0,0,0,0,7,8,7,0,7,0,0,0,0,0,0,0,1,1,7,0,0,0,0,7,7,7,1,7,0,0,3,0,7,0,0,0,0,0,0,0,7,0,8,0,0,7,0,0,0,0,8,0,8,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,7,0,7,0,0,0,0,7,7,0,8,7,0,0,0,0,0,0,8,7,1,7,8,8,7,0,1,0,1,0,8,8,7,0,0,0,0,0,7,8,7,8,0,0,0,0,0,0,7,0,7,0,8,8,0,0,0,1,8,0,0,0,0,0,8,0,0,8,0,8,1,1,7,0,0,0,8,1,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,7,8,8,8,8,8,8,0
6,9,The,1,9,8,1,3,8,9,7,8,0,8,8,8,8,0,0,8,7,5,0,8,9,9,9,1,1,0,0,9,1,0,8,9,2,0,1,0,0,8,0,0,9,8,0,0,0,0,0,8,0,0,1,1,0,0,0,1,0,0,0,8,9,7,0,0,0,1,1,8,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,7,8,9,0,9,0,8,8,0,0,0,8,1,7,0,0,0,0,0,0,0,0,0,9,1,9,0,8,8,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,8,8,0,0,0,0,7,8,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,8,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,0,9,0,0,0,0,0,0,0,9,0,0,7,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,8,9,0,0,0,0,0,0,0,8,9,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0
6,10, only,1,10,9,1,0,9,10,9,9,2,10,9,8,9,1,0,9,7,9,0,8,9,9,10,3,9,1,3,10,1,10,9,10,10,9,9,0,8,8,0,0,9,10,0,0,0,0,0,0,0,0,1,1,10,8,0,0,9,0,0,8,10,0,0,0,0,10,0,9,0,0,0,4,0,0,0,0,8,2,0,0,0,0,0,0,9,8,10,9,9,8,9,9,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,9,0,8,9,0,0,0,8,0,9,0,0,9,0,0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,9,9,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,10,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,10,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,3,7,6,0,0,8,0,10,9
